8.092: [GC [PSYoungGen: 1024064K->13715K(1194688K)] 1024064K->13715K(3925376K), 0.0226640 secs] [Times: user=0.13 sys=0.02, real=0.02 secs] 
12.621: [GC [PSYoungGen: 1037779K->24483K(1194688K)] 1037779K->24483K(3925376K), 0.0246800 secs] [Times: user=0.15 sys=0.03, real=0.03 secs] 
14.499: [GC [PSYoungGen: 1048547K->50601K(1194688K)] 1048547K->50601K(3925376K), 0.0575960 secs] [Times: user=0.32 sys=0.05, real=0.06 secs] 
15.572: [GC [PSYoungGen: 1074665K->74219K(2218752K)] 1074665K->74219K(4949440K), 0.0635610 secs] [Times: user=0.32 sys=0.10, real=0.06 secs] 
17.272: [GC [PSYoungGen: 2122347K->119140K(2218752K)] 2122347K->119140K(4949440K), 0.1071470 secs] [Times: user=0.53 sys=0.18, real=0.10 secs] 
18.816: [GC [PSYoungGen: 2167268K->129959K(2476800K)] 2167268K->152831K(5207488K), 0.1281670 secs] [Times: user=0.67 sys=0.22, real=0.13 secs] 
20.376: [GC [PSYoungGen: 2476775K->142193K(2519360K)] 2499647K->188699K(5250048K), 0.1324870 secs] [Times: user=0.69 sys=0.25, real=0.13 secs] 
21.782: [GC [PSYoungGen: 2489009K->124176K(2526656K)] 2535515K->210914K(5257344K), 0.1150240 secs] [Times: user=0.77 sys=0.09, real=0.12 secs] 
23.192: [GC [PSYoungGen: 2457104K->101104K(2434048K)] 2543842K->249224K(5164736K), 0.1186070 secs] [Times: user=0.80 sys=0.10, real=0.12 secs] 
24.590: [GC [PSYoungGen: 2434032K->68960K(2537472K)] 2582152K->269691K(5268160K), 0.0882020 secs] [Times: user=0.58 sys=0.09, real=0.09 secs] 
25.953: [GC [PSYoungGen: 2414112K->41360K(2530368K)] 2614843K->299328K(5261056K), 0.0761630 secs] [Times: user=0.49 sys=0.11, real=0.08 secs] 
27.174: [GC [PSYoungGen: 2386512K->65760K(2538048K)] 2644480K->352286K(5268736K), 0.0828500 secs] [Times: user=0.59 sys=0.05, real=0.08 secs] 
28.492: [GC [PSYoungGen: 2426208K->47568K(2536064K)] 2712734K->362931K(5266752K), 0.0637140 secs] [Times: user=0.43 sys=0.05, real=0.07 secs] 
29.805: [GC [PSYoungGen: 2408016K->47120K(2550656K)] 2723379K->391987K(5281344K), 0.0631160 secs] [Times: user=0.45 sys=0.04, real=0.06 secs] 
31.051: [GC [PSYoungGen: 2428880K->43344K(2549056K)] 2773747K->417645K(5279744K), 0.0596120 secs] [Times: user=0.40 sys=0.05, real=0.06 secs] 
32.284: [GC [PSYoungGen: 2425104K->37968K(2559744K)] 2799405K->441705K(5290432K), 0.0551660 secs] [Times: user=0.38 sys=0.05, real=0.06 secs] 
