Active Choices Plug-in 				1.5.2		
Ant Plugin 						1.3	
Artifact Deployer Plug-in 				0.33	
Audit Trail.						 2.2	
bouncycastle API Plugin 				2.16.0			
Branch API Plugin					1.10			
Build Flow plugin					0.20	
Build Graph View Plugin				1.1.1			
Build Monitor View.					1.10+build.201611041949	
build timeout plugin					1.18		
build-name-setter					1.6.5	
Bulk Builder						1.5			
CAS Plugin						1.2.0	
Cobertura Plugin					1.9.8	
Conditional BuildStep					1.3.5	
Copy Artifact Plugin					1.38.1	
Credentials Plugin					2.1.10		
CVS Plug-in						2.12	
Dashboard View					2.9.10	
Dependency Graph 					0.11			
Display URL API					0.5			
Durable Task Plugin					1.12			
Dynamic Extended Choice Parameter Plug-In	1.0.1			
Dynamic Parameter Plug-in				0.2.0			
Email Extension Plugin				2.52	
embeddable-build-status				1.9	
Environment Injector Plugin				1.92.1	
Extended Choice Parameter Plug-In			0.75	
External Monitor Job Type Plugin			1.6	
Extra Columns Plugin					1.17	
Flexible Publish Plugin				0.15.2			
FLOW Plugin						1.3			
Folders Plugin						5.13	
Git client plugin					1.19.6			
Git plugin						2.5.3			
GIT server Plugin					1.6			
GitHub API Plugin					1.77			
GitHub Branch Source Plugin				1.8.1			
GitHub Organization Folder Plugin			1.4			
GitHub plugin						1.21.0			
Green Balls						1.15	
Groovy postbuild task. 				2.3.1
Hidden Parameter plugin				0.04
Hudson Post build task				1.8
Icon Shim Plugin					2.0.3
Job history plugin for Jenkins.				2.15
Job DSL						1.50
jQuery plugin						1.11.2-0
jQuery UI plugin					1.0.2
JUnit Plugin						1.18
LDAP Plugin						1.12
Mail Watcher Plugin					1.16
Mailer Plugin						1.18
MapDB API Plugin					1.0.9.0
Mask Passwords Plugin				2.8
Matrix Authorization Strategy Plugin			1.4
Matrix Project Plugin					1.7.1
Maven Integration plugin				2.13	
Multiple SCMs plugin					0.6	
Node and Label parameter plugin			1.7.2	
Node Offline Notification Plugin			1.0.3			
OWASP Markup Formatter Plugin			1.5	
PAM Authentication plugin				1.3	
Parameterized Trigger plugin				2.32	
patch-parameter					1.2			
Perforce Plugin					1.3.36		
Pipeline						2.2			
Pipeline: API						2.1			
Pipeline: Basic Steps					2.1			
Pipeline: Build Step					2.2			
Pipeline: Groovy					2.12			
Pipeline: Input Step					2.1			
Pipeline: Job						2.5			
Pipeline: Multibranch					2.8			
Pipeline: Nodes and Processes			2.4			
Pipeline: REST API Plugin				1.7			
Pipeline: SCM Step					2.2			
Pipeline: Shared Groovy Libraries			2.2			
Pipeline: Stage Step					2.1			
Pipeline Stage View Plugin.				1.7			
Pipeline: Step API					2.3			
Pipeline: Supporting APIs				2.2			
Plain Credentials Plugin				1.3	
Plot plugin						1.9	
Post-Build Script Plug-in				0.17	
Rebuilder						1.25			
Regression Report Plugin				1.5	
Remote Terminal Access plugin			1.6			
Resource Disposer Plugin				0.3			
Role-based Authorization Strategy			2.3.2			
Ruby Runtime Plugin					0.12			
Run Condition Plugin					1.0			
SCM API Plugin					1.2	
Script Security Plugin					1.24	
Scriptler						2.9	
Sidebar Link						1.7			
SSH Credentials Plugin				1.12	
SSH plugin						2.4	
SSH Slaves plugin					1.11	
Static Analysis Utilities				1.74	
Structs Plugin						1.3	
Subversion Plug-in					2.6	
Summary Display Plugin				1.15	
Token Macro Plugin					2.0	
Translation Assistance plugin				1.15	
user build vars plugin					1.5	
View Job Filters					1.27			
Violations plugin					0.7.11			
Warnings Plug-in					4.50	
Windows Slaves Plugin				1.2	
Workspace Cleanup Plugin				0.32	
xUnit plugin						1.97
