                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2012 University of Southern California                    

                                       LANGUAGE COUNT SUMMARY                                       
                              Generated by UCC v.2011.10 on 6 27 2016                              
                    UCC.linux -unified -nocomplex -nodup -i1 slocInclusions.txt                    

Language,Number,Physical,Logical
Name,of Files,SLOC,SLOC
C_CPP,167,129757,10589
C#,1894,207617,124770
CSS,1,47,33
Pascal,8,476,44
Visual_Basic,4,156,124
HTML,6,222,205
XML,12,99037,57584

Total,2092,437312,193349
