cloudbees-folder                   Folders Plugin                                                   6.5.1
junit                              JUnit Plugin                                                     1.26.1
ssh-credentials                    SSH Credentials Plugin                                           1.14
script-security                    Script Security Plugin                                           1.46
matrix-project                     Matrix Project Plugin                                            1.13
antisamy-markup-formatter          OWASP Markup Formatter Plugin                                    1.5
github                             GitHub plugin                                                    1.29.2
pam-auth                           PAM Authentication plugin                                        1.4
git-client                         Git client plugin                                                2.7.3
windows-slaves                     Windows Slaves Plugin                                            1.3.1
mailer                             Mailer Plugin                                                    1.21
ldap                               LDAP Plugin                                                      1.20
token-macro                        Token Macro Plugin                                               2.5
mapdb-api                          MapDB API Plugin                                                 1.0.9.0
icon-shim                          Icon Shim Plugin                                                 2.0.3
matrix-auth                        Matrix Authorization Strategy Plugin                             2.3
pipeline-stage-step                Pipeline: Stage Step                                             2.3
external-monitor-job               External Monitor Job Type Plugin                                 1.7
subversion                         Subversion Plug-in                                               2.12.1
build-timeout                      Build Timeout                                                    1.19
credentials                        Credentials Plugin                                               2.1.18
ssh-slaves                         SSH Slaves plugin                                                1.26 (1.28.1)
structs                            Structs Plugin                                                   1.15
workflow-step-api                  Pipeline: Step API                                               2.16
workflow-basic-steps               Pipeline: Basic Steps                                            2.8.2
plain-credentials                  Plain Credentials Plugin                                         1.4
credentials-binding                Credentials Binding Plugin                                       1.16
timestamper                        Timestamper                                                      1.8.10
email-ext                          Email Extension Plugin                                           2.63
ws-cleanup                         Workspace Cleanup Plugin                                         0.34
jira                               JIRA plugin                                                      3.0.2
ant                                Ant Plugin                                                       1.8
gradle                             Gradle Plugin                                                    1.29
workflow-aggregator                Pipeline                                                         2.5
jquery-detached                    JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin 1.2.1
crowd2                             Crowd 2 Integration                                              2.0.1
durable-task                       Durable Task Plugin                                              1.26
workflow-api                       Pipeline: API                                                    2.27
workflow-support                   Pipeline: Supporting APIs                                        2.20
monitoring                         Monitoring                                                       1.74.0
workflow-job                       Pipeline: Job                                                    2.25
javadoc                            Javadoc Plugin                                                   1.4
pipeline-rest-api                  Pipeline: REST API Plugin                                        2.10
handlebars                         JavaScript GUI Lib: Handlebars bundle plugin                     1.1.1
maven-plugin                       Maven Integration plugin                                         3.1.2
momentjs                           JavaScript GUI Lib: Moment.js bundle plugin                      1.1.1
pipeline-stage-view                Pipeline: Stage View Plugin                                      2.10
github-api                         GitHub API Plugin                                                1.92
pipeline-build-step                Pipeline: Build Step                                             2.7
jobConfigHistory                   Job Configuration History Plugin                                 2.18.1
ace-editor                         JavaScript GUI Lib: ACE Editor bundle plugin                     1.1
ssh-agent                          SSH Agent Plugin                                                 1.16
workflow-scm-step                  Pipeline: SCM Step                                               2.6
scm-api                            SCM API Plugin                                                   2.2.7
workflow-cps                       Pipeline: Groovy                                                 2.56
git-server                         GIT server Plugin                                                1.7
workflow-cps-global-lib            Pipeline: Shared Groovy Libraries                                2.11
thinBackup                         ThinBackup                                                       1.9
branch-api                         Branch API Plugin                                                2.0.20
git                                Git plugin                                                       3.9.1
workflow-multibranch               Pipeline: Multibranch                                            2.20
workflow-durable-task-step         Pipeline: Nodes and Processes                                    2.22
pipeline-input-step                Pipeline: Input Step                                             2.8
urltrigger                         URLTrigger Plug-in                                               0.44
shelve-project-plugin              Shelve Project Plugin                                            2.1
jquery                             jQuery plugin                                                    1.12.4-0
analysis-core                      Static Analysis Utilities                                        1.95
audit-trail                        Audit Trail                                                      2.3
StashBranchParameter               Stash Branch Parameter Plug-In                                   0.3.0
job-import-plugin                  Job Import Plugin                                                3.0
parameterized-trigger              Parameterized Trigger plugin                                     2.35.2
robot                              Robot Framework plugin                                           1.6.5
rebuild                            Rebuilder                                                        1.29
nested-view                        Nested View Plugin                                               1.14
claim                              Claim Plugin                                                     2.15
stashNotifier                      Stash Notifier                                                   1.14
envinject                          Environment Injector Plugin                                      2.1.5 (2.1.6)
mask-passwords                     Mask Passwords Plugin                                            2.12.0
github-branch-source               GitHub Branch Source Plugin                                      2.3.6
radiatorviewplugin                 Radiator View Plugin                                             1.29
display-url-api                    Display URL API                                                  2.2.0
analysis-collector                 Static Analysis Collector Plug-in                                1.52
publish-over-ssh                   Publish Over SSH                                                 1.20.1
xunit                              xUnit plugin                                                     2.2.5
job-node-stalker                   Job Node Stalker                                                 1.0.5
run-condition                      Run Condition Plugin                                             1.2
scp                                Hudson SCP publisher plugin                                      1.8
msbuild                            MSBuild Plugin                                                   1.29
bouncycastle-api                   bouncycastle API Plugin                                          2.17
git-parameter                      Git Parameter Plug-In                                            0.9.5
cppcheck                           Cppcheck Plug-in                                                 1.24
config-file-provider               Config File Provider Plugin                                      3.2
copyartifact                       Copy Artifact Plugin                                             1.39.1
conditional-buildstep              Conditional BuildStep                                            1.3.6
jacoco                             JaCoCo plugin                                                    3.0.3
