 num     #instances         #bytes  class name
----------------------------------------------
   1:        646603      131564208  [C
   2:        647464       15539136  java.lang.String
   3:        202928       11363968  org.jenkinsci.plugins.testresultsanalyzer.result.data.TestCaseResultData
   4:        233155        9326200  java.util.TreeMap$Entry
   5:         58105        3647720  [Ljava.lang.Object;
   6:          8553        3610496  [B
   7:         94077        3010464  java.util.HashMap$Node
   8:         30330        2669040  java.lang.reflect.Method
   9:         65643        2100576  java.lang.StackTraceElement
  10:         18671        2067264  java.lang.Class
  11:         17147        1852888  [I
  12:         20710        1787976  [Ljava.util.HashMap$Node;
  13:         54163        1733216  java.util.concurrent.ConcurrentHashMap$Node
  14:         22014        1056672  java.util.HashMap
  15:         24223         968920  java.util.WeakHashMap$Entry
  16:         32528         780672  java.util.ArrayList
  17:         46642         746272  java.lang.Object
  18:         22985         735520  java.util.Hashtable$Entry
  19:         22829         730528  java.lang.ref.WeakReference
  20:         11102         710528  java.net.URL
  21:         12518         701008  org.jenkinsci.plugins.testresultsanalyzer.result.data.ClassResultData
  22:         17236         689440  java.util.LinkedHashMap$Entry
  23:          5351         631352  [Ljava.util.WeakHashMap$Entry;
  24:         26201         628824  java.lang.Long
  25:         27635         613904  [Ljava.lang.Class;
  26:         10562         591472  org.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry
  27:         14586         583440  java.lang.ref.SoftReference
  28:          7953         572616  java.lang.reflect.Field
  29:         11827         570288  [Ljava.lang.String;
  30:          6475         520864  [S
  31:         21590         518160  java.util.concurrent.ConcurrentSkipListMap$Node
  32:           523         510640  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  33:          6012         480960  java.lang.reflect.Constructor
  34:         18277         438648  java.util.concurrent.atomic.AtomicLong
  35:          7226         404656  java.util.LinkedHashMap
  36:          1619         404216  [Z
  37:          6941         388696  org.jenkinsci.plugins.testresultsanalyzer.result.data.PackageResultData
  38:          7584         364032  java.util.TreeMap
  39:          5097         326208  org.codehaus.groovy.reflection.CachedMethod
  40:         13241         321456  [Lorg.apache.commons.jexl.parser.Node;
  41:         19773         316368  java.lang.Integer
  42:          3113         311400  [Ljava.lang.StackTraceElement;
  43:          2208         305976  [Ljava.util.Hashtable$Entry;
  44:          8945         286240  com.codahale.metrics.WeightedSnapshot$WeightedSample
  45:          5343         256464  java.util.WeakHashMap
