time,build_number,project_name,project_name_1,project_path,rf_critical_failed,rf_critical_passed,rf_duration,rf_failed,rf_name,rf_name_1,rf_passed,rf_suite_name
2018-12-22T19:47:12.813000148Z,1291,Altiplano,null_Altiplano,Altiplano,0,1,17014,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2018-12-22T21:16:21.022000148Z,1292,Altiplano,null_Altiplano,Altiplano,0,1,13696,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2018-12-22T22:22:31.089000148Z,1293,Altiplano,null_Altiplano,Altiplano,0,1,11851,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2018-12-22T23:57:59.333000148Z,1294,Altiplano,null_Altiplano,Altiplano,0,1,12191,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2018-12-23T01:00:51.494000148Z,1295,Altiplano,null_Altiplano,Altiplano,0,1,12835,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2018-12-23T02:05:41.531000148Z,1296,Altiplano,null_Altiplano,Altiplano,0,1,12557,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2018-12-23T03:15:55.553000148Z,1297,Altiplano,null_Altiplano,Altiplano,0,1,12563,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2018-12-23T04:24:56.734000148Z,1298,Altiplano,null_Altiplano,Altiplano,0,1,13854,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2018-12-23T05:48:34.211000148Z,1299,Altiplano,null_Altiplano,Altiplano,0,1,14634,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2018-12-23T06:54:03.947000148Z,1300,Altiplano,null_Altiplano,Altiplano,0,1,12230,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
2018-12-23T08:19:44.817000148Z,1301,Altiplano,null_Altiplano,Altiplano,0,1,12861,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,1,Device Configuration
