
 num     #instances         #bytes  class name
----------------------------------------------
   1:         47648       52709936  [B
   2:          6332       21716072  [S
   3:        199915       20172432  [C
   4:         13498       16973832  [I
   5:          2711        3704576  [F
   6:        129273        3102552  java.lang.String
   7:         37764        2743928  [Ljava.lang.Object;
   8:         15011        1320968  java.lang.reflect.Method
   9:         37830        1210560  java.util.HashMap$Node
  10:          9037        1007224  java.lang.Class
  11:         24592         983680  java.lang.ref.Finalizer
  12:          6818         983560  [Ljava.lang.String;
  13:         12202         683312  java.util.zip.ZipFile$ZipFileInputStream
  14:         11733         657048  java.util.zip.ZipFile$ZipFileInflaterInputStream
  15:          9099         620248  [Ljava.util.HashMap$Node;
  16:         11607         557136  java.nio.HeapCharBuffer
  17:         16770         536640  java.util.concurrent.ConcurrentHashMap$Node
  18:         10871         521808  java.util.HashMap
  19:         22372         498488  [Ljava.lang.Class;
  20:         18406         441744  java.util.ArrayList
  21:          9573         382920  java.lang.ref.SoftReference
  22:         13385         321240  java.lang.StringBuilder
  23:          7822         312880  java.util.LinkedHashMap$Entry
  24:          3519         281520  java.lang.reflect.Constructor
  25:         14644         234304  java.lang.Object
  26:           188         234080  [J
  27:          6913         221216  java.util.ArrayList$Itr
  28:          5240         209600  java.util.TreeMap$Entry
  29:          6496         207872  java.util.Hashtable$Entry
  30:          2670         192240  java.lang.reflect.Field
  31:          4770         190800  java.util.HashMap$KeyIterator
  32:          5895         188640  org.eclipse.jetty.http.HttpField
  33:          5258         168256  java.lang.ref.WeakReference
  34:          7002         168048  java.lang.StringBuffer
  35:          2963         165928  org.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry
  36:           377         163168  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  37:          2908         162848  java.util.LinkedHashMap
  38:          3657         146280  java.util.Formatter$FormatSpecifier
  39:          3657         146280  org.eclipse.jetty.http.HttpFields$1
  40:          1946         124544  java.net.URL
  41:           851         122544  org.codehaus.groovy.ast.ClassNode
  42:          2552         122496  org.acegisecurity.ui.savedrequest.SavedCookie
  43:          5077         121848  java.util.jar.Attributes$Name
  44:          4644         111456  java.lang.Double
  45:          1873         104888  java.lang.Class$ReflectionData
  46:          1512          96768  org.codehaus.groovy.reflection.CachedMethod
  47:          1438          92800  [Ljava.lang.reflect.Method;
  48:          1272          81408  java.util.regex.Matcher
  49:          2529          80928  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
  50:          1661          79728  java.util.TreeMap
  51:          3059          73416  java.util.concurrent.ConcurrentLinkedDeque$Node
  52:           993          71496  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask
  53:           305          70904  [Ljava.util.Hashtable$Entry;
  54:          1751          70040  java.util.HashMap$EntryIterator
  55:          4213          67408  java.util.jar.Attributes
  56:          1173          65688  org.codehaus.groovy.reflection.GeneratedMetaMethod$Proxy
  57:          2705          64920  [Lorg.acegisecurity.GrantedAuthority;
  58:          2703          64872  java.util.Formatter$FixedString
  59:          2006          64192  java.util.concurrent.locks.ReentrantLock$NonfairSync
  60:           393          62480  [Lorg.codehaus.groovy.util.ComplexKeyHashMap$Entry;
  61:          1280          61440  javax.servlet.http.Cookie
  62:          3667          58672  java.util.Formatter$Flags
  63:          1458          58320  sun.util.locale.BaseLocale$Key
  64:          1431          57240  [Ljava.util.Formatter$Flags;
  65:          1012          56672  java.beans.MethodDescriptor
  66:           642          53696  [Lorg.eclipse.jetty.http.HttpField;
  67:           955          53480  [Ljava.text.Format;
  68:          2226          53424  java.util.concurrent.CopyOnWriteArrayList$COWIterator
